,precision,recall,f1-score,support
NORMAL,0.9923664122137404,0.5555555555555556,0.7123287671232876,234.0
PNEUMONIA,0.7890466531440162,0.9974358974358974,0.8810872027180068,390.0
accuracy,0.8317307692307693,0.8317307692307693,0.8317307692307693,0.8317307692307693
macro avg,0.8907065326788783,0.7764957264957265,0.7967079849206472,624.0
weighted avg,0.8652915627951628,0.8317307692307693,0.8178027893699872,624.0
