threshold,precision,recall,specificity,f1
0.0,0.625,1.0,0.0,0.7692307692307693
0.01,0.779559118236473,0.9974358974358974,0.5299145299145299,0.875140607424072
0.02,0.8020618556701031,0.9974358974358974,0.5897435897435898,0.8891428571428571
0.03,0.8155136268343816,0.9974358974358974,0.6239316239316239,0.8973471741637833
0.04,0.8220338983050848,0.9948717948717949,0.6410256410256411,0.9002320185614849
0.05,0.8344086021505376,0.9948717948717949,0.6709401709401709,0.9076023391812865
0.06,0.8431372549019608,0.9923076923076923,0.6923076923076923,0.9116607773851589
0.07,0.8449781659388647,0.9923076923076923,0.6965811965811965,0.9127358490566039
0.08,0.8498896247240618,0.9871794871794872,0.7094017094017094,0.9134045077105576
0.09,0.8498896247240618,0.9871794871794872,0.7094017094017094,0.9134045077105576
0.1,0.8533333333333334,0.9846153846153847,0.717948717948718,0.9142857142857143
0.11,0.8568232662192393,0.982051282051282,0.7264957264957265,0.9151732377538828
0.12,0.8603603603603603,0.9794871794871794,0.7350427350427351,0.9160671462829736
0.13,0.8623024830699775,0.9794871794871794,0.7393162393162394,0.9171668667466986
0.14,0.8636363636363636,0.9743589743589743,0.7435897435897436,0.9156626506024097
0.15,0.8656036446469249,0.9743589743589743,0.7478632478632479,0.9167671893848008
0.16,0.8656036446469249,0.9743589743589743,0.7478632478632479,0.9167671893848008
0.17,0.8656036446469249,0.9743589743589743,0.7478632478632479,0.9167671893848008
0.18,0.867579908675799,0.9743589743589743,0.7521367521367521,0.9178743961352657
0.19,0.8715596330275229,0.9743589743589743,0.7606837606837606,0.9200968523002422
0.2,0.8729792147806005,0.9692307692307692,0.7649572649572649,0.9185905224787364
0.21,0.8729792147806005,0.9692307692307692,0.7649572649572649,0.9185905224787364
0.22,0.8747099767981439,0.9666666666666667,0.7692307692307693,0.9183922046285018
0.23,0.8767441860465116,0.9666666666666667,0.7735042735042735,0.9195121951219511
0.24,0.8802816901408451,0.9615384615384616,0.782051282051282,0.9191176470588236
0.25,0.8820754716981132,0.958974358974359,0.7863247863247863,0.918918918918919
0.26,0.8817966903073287,0.9564102564102565,0.7863247863247863,0.9175891758917589
0.27,0.8815165876777251,0.9538461538461539,0.7863247863247863,0.916256157635468
0.28,0.883054892601432,0.9487179487179487,0.7905982905982906,0.9147095179233622
0.29,0.883054892601432,0.9487179487179487,0.7905982905982906,0.9147095179233622
0.3,0.8848920863309353,0.9461538461538461,0.7948717948717948,0.9144981412639406
0.31,0.8910411622276029,0.9435897435897436,0.8076923076923077,0.9165628891656289
0.32,0.8973105134474327,0.941025641025641,0.8205128205128205,0.918648310387985
0.33,0.9017199017199017,0.941025641025641,0.8290598290598291,0.9209535759096613
0.34,0.9037037037037037,0.9384615384615385,0.8333333333333334,0.920754716981132
0.35000000000000003,0.9037037037037037,0.9384615384615385,0.8333333333333334,0.920754716981132
0.36,0.9032258064516129,0.9333333333333333,0.8333333333333334,0.9180327868852459
0.37,0.9029850746268657,0.9307692307692308,0.8333333333333334,0.9166666666666667
0.38,0.9029850746268657,0.9307692307692308,0.8333333333333334,0.9166666666666667
0.39,0.9029850746268657,0.9307692307692308,0.8333333333333334,0.9166666666666667
0.4,0.9029850746268657,0.9307692307692308,0.8333333333333334,0.9166666666666667
0.41000000000000003,0.9052369077306733,0.9307692307692308,0.8376068376068376,0.9178255372945638
0.42,0.905,0.9282051282051282,0.8376068376068376,0.9164556962025316
0.43,0.905,0.9282051282051282,0.8376068376068376,0.9164556962025316
0.44,0.9072681704260651,0.9282051282051282,0.8418803418803419,0.917617237008872
